Code,Description,Level
41113905,Permeability testing apparatus,4
41113906,Permeability or porosity estimation apparatus,4
41113907,Porosimeters,4
41113908,Sand testing apparatus,4
41113909,Soil core sampling apparatus,4
41113910,Soil testing kits,4
41114000,Rock and strata measuring equipment,3
41114001,Clinometers,4
41114100,Seismological instruments,3
41114102,Earthquake simulators,4
41114103,Seismic alarm modules,4
41114104,Seismic amplifiers,4
41114105,Portable seismic apparatus,4
41114106,Seismic recorders or seismographs,4
41114107,Seismometers,4
41114108,Vibrometers,4
41114200,Land surveying instruments,3
41114201,Measuring tapes,4
41114202,Measuring rods,4
41114203,Measuring tables,4
41114300,Hydrological instruments,3
41114301,Open stream current meters,4
41114302,Logging instruments for water wells,4
41114303,Open stream water level recorders,4
41114400,Meteorological instruments,3
41114401,Anemometers,4
41114402,Barometers,4
41114403,Precipitation or evaporation recorders,4
41114404,Radiosonde apparatus,4
41114405,Rainfall recorders,4
41114406,Precipitation or evaporation surface observing apparatus,4
41114407,Solar radiation surface observing apparatus,4
41114408,Temperature or humidity surface observing apparatus,4
41114409,Wind surface observing apparatus,4
41114500,Mechanical instruments,3
41114501,Dynamometers,4
41114502,Elastometers,4
41114503,Extensometers,4
41114504,Pitch measuring instruments,4
41114505,Roundness testing instruments,4
41114506,Spherometers,4
41114507,Spring testing machines,4
41114508,Surface testers,4
41114509,Tensiometers,4
41114600,Metals and metallurgy and structural materials testing instruments,3
41114601,Abrasion testers,4
41114602,Compression testers,4
41114603,Concrete or cement testing instruments,4
41114604,Corrosion testers,4
41114605,Crack or corrosion detectors,4
41114606,Creep testers,4
41114607,Ductility testing machines,4
41114608,Fatigue testers,4
41114609,Forging testing apparatus,4
41114610,Foundry testing apparatus,4
41114611,Hardness testers,4
41114612,Impact testers,4
41114613,Load frame,4
41114614,Metal testing instruments,4
41114615,Photoelastic testing instruments,4
41114616,Proofstress indicators,4
41114617,Relaxation testers,4
41114618,Roughness measuring instruments,4
41114619,Shear strength testers,4
41114620,Shock testing apparatus,4
41114621,Tension testers,4
41114622,Torsion testers,4
41114623,Flexure or transverse testing machines,4
41114624,Vibration testers,4
41114625,Wear testers,4
41114626,Welding testing apparatus,4
41114700,Paper and wood and textile testing instruments,3
41114800,Ceramics and glass testing instruments,3
41114802,Glass testing instruments,4
41115100,Coal and ore testing instruments,3
41115200,Radar and sonar systems and components,3
42000000,Medical Equipment and Accessories and Supplies,1
42182200,Medical thermometers and accessories,3
42182100,Stethoscopes and related products,3
42141800,Electrotherapy equipment,3
42201800,Medical diagnostic x ray products,3
42203200,Radiotherapy simulators,3
42201500,Medical computed tomography CT or CAT systems and related products,3
42203000,Medical linear accelerators and related products,3
42201807,Medical radioisotope scanners,4
42152008,Dental x ray units,4
42271700,Oxygen therapy delivery systems and devices,3
42271802,Nebulizers,4
42271708,Medical oxygen masks or parts,4
42271713,Medical hyperbaric chambers,4
42260000,Postmortem and mortuary equipment and supplies,2
42291614,Surgical scissors,4
42293100,Surgical retractors and related products,3
42272001,Intubation laryngoscopes ,4
42192301,Patient lifts,4
42141806,Diathermy units,4
42142108,Therapeutic heating or cooling pads or compresses or packs,4
42294500,Ophthalmic specialty instruments and related products,3
42312209,Umbilical tapes,4
42181700,Electrocardiography EKG units and related products,3
42296600,Medical stereotactic systems,3
42182327,Thesiometers,4
42181600,Blood pressure units and related products,3
42160000,Dialysis equipment and supplies,2
42161509,Peritoneal dialysis units or cyclers ,4
42161601,Hemodialysis administration kits or sets,4
42161701,Hemofilters,4
42151600,Dental and subspecialty instruments and devices,3
42152902,Bands for dental matrix,4
42152508,Dental syringes or needles or syringes with needles,4
42203500,Cardiac pacemakers and related products,3
42312206,Suture needles,4
42142504,Biopsy needles,4
42242000,Prosthetic devices or accessories and supplies,3
42211703,Braille writing paper or plastic for physically challenged,4
42211711,Voice synthesizers for the physically challenged,4
42211706,Letter or symbol boards for the physically challenged,4
42211702,Braille devices for the physically challenged,4
42312104,Ostomy collection supplies,4
42211502,Crutches ,4
42192210,Wheelchairs,4
42192208,Wheelchair accessories,4
42192209,Wheelchair ramps,4
42211917,Tableware for the physically challenged,4
42120000,Veterinary equipment and supplies,2
42121500,Veterinary equipment,3
42121501,Veterinary blood pressure testers,4
42121600,Veterinary products,3
43000000,Information Technology Broadcasting and Telecommunications,1
43201534,Exchange component CODEC interfaces,4
43201509,Exchange datacom modules,4
43222806,Punch down block,4
43191504,Fixed phones,4
43221504,Premise branch exchange PBX systems,4
43191501,Mobile phones,4
43191505,Answering machines,4
43191503,Pay phones,4
43191609,Phone headsets,4
43221519,Voice mail systems,4
43222802,Circuit switchboard equipment,4
43221713,Shortwave core equipment,4
43222631,Wireless fidelity base stations Wifi,4
43222700,Telegraph equipment,3
43223000,Teletype equipment,3
43221522,Teleconference equipment,4
43221711,Satellite access equipment,4
43191502,Pagers,4
43221525,Intercom systems,4
43201403,Modem cards,4
43221709,Microwave antennas,4
43221703,Television antennas,4
43221712,Satellite antennas,4
43221706,Radio antennas,4
43221718,Radar antennas,4
43211500,Computers,3
43211503,Notebook computers,4
43211602,Docking stations,4
43211507,Desktop computers,4
43211504,Personal digital assistant PDAs or organizers,4
43211501,Computer servers,4
43201503,Central processing unit CPU processors,4
43201513,Motherboards,4
43201500,System boards processors interfaces or modules,3
43201535,Serial infrared ports,4
43201401,Graphics or video accelerator cards,4
43201404,Network interface cards,4
43201502,Audio accelerator cards,4
43201533,Musical instrument digital interface MIDI interfaces,4
43211700,Computer data input devices,3
43211712,Graphics tablets,4
43211705,Game pads or joy sticks,4
43211706,Keyboards,4
43211711,Scanners,4
43211713,Touch pads,4
43201801,Floppy drives,4
43201809,Read write compact disc CD,4
43201806,Tape arrays,4
43211900,Computer displays,3
43211901,Cathode ray tube CRT monitors,4
43212100,Computer printers,3
43212107,Plotter printers,4
43212101,Band printers,4
43212102,Dot matrix printers,4
43212106,Line matrix printers,4
43212108,Thermal tape printers,4
43222612,Network switches,4
43230000,Software,2
43232300,Data management and query software,3
43233004,Operating system software,4
43232603,Facilities management software,4
43231513,Office suite software,4
43231604,Financial analysis software,4
43231601,Accounting software,4
43232202,Document management software,4
43233413,Voice recognition software,4
43232106,Presentation software,4
43232104,Word processing software,4
43232604,Computer aided design CAD software,4
43232500,Educational or reference software,3
43232105,Charting software,4
43232110,Spreadsheet software,4
43232401,Configuration management software,4
43232400,Development software,3
43232404,Graphical user interface development software,4
43232406,Program testing software,4
43233410,Printer driver software,4
43232900,Networking software,3
43232408,Web platform development software,4
43233000,Operating environment software,3
43233002,Network operation system software,4
43231512,License management software,4
43233401,Compact disc CD server software,4
43232313,Transaction server software,4
43232908,Switch or router software,4
43232906,Multiplexer software,4
43232902,Communications server software,4
43232702,Desktop communications software,4
43232703,Interactive voice response software,4
43233411,Screen saver software,4
43232502,Computer based training software,4
43232600,Industry specific software,3
43232611,Point of sale POS software,4
43232607,Flight control software,4
43232601,Aviation ground support software,4
43232602,Aviation test software,4
44000000,Office Equipment and Accessories and Supplies,1
44100000,Office machines and their supplies and accessories,2
44101500,Duplicating machines,3
44101501,Photocopiers,4
44101600,Paper processing machines and accessories,3
44101601,Paper cutting machines or accessories,4
44101602,Paper punching or binding machines,4
44101700,Printer and photocopier and facsimile accessories,3
44101701,Color options or upgrades,4
44101702,Duplexer trays,4
44101703,Duplexer units,4
44101704,Facsimile handsets,4
44101800,Calculating machines and accessories,3
44101802,Adding machines,4
44101803,Accounting machines,4
44101900,Check endorsing and writing machines,3
44101901,Check endorsing machines,4
44101902,Check writing machines,4
44102000,Laminating supplies,3
44102001,Lamination film,4
44102100,Mail machines,3
44102101,Franking or postage machines,4
44102102,Mail opening machines,4
44102103,Mail sealing machines,4
44102104,Stamp canceling machines,4
44102105,Addressing machines,4
44102200,Scanner accessories,3
44102201,Endorsers,4
44102300,Packing machines,3
44102301,Bundling machines,4
44102302,Parcel wrapping machines,4
44102303,Seal presses,4
44102304,Sealing machines,4
44102305,Strapping tensioners or sealers,4
44102306,Tying machines,4
44102400,Labeling machines,3
44102402,Dating or numbering machines,4
44102403,Identification ID press machines,4
44102404,Label applying machines,4
44102405,Label making machines,4
44102406,Lettering equipment,4
44102407,Tape embosser,4
44102408,Automatic labeling systems,4
44102409,Semi automatic labeling systems,4
44102411,Label dispensers,4
44102500,Sorting machines,3
44102501,Money counting machines,4
44102502,Sorters,4
44102600,Typing machines and accessories,3
44102602,Typewriters,4
44102603,Printwheels,4
44102604,Stenotype machines,4
44102800,Binding and lamination machines,3
44102801,Laminators,4
44102900,Office machine accessories,3
44102901,Travel kits for office machines,4
44102902,Storage accessories for office machines,4
44102903,Tape cleaners,4
44103000,Fusers and accessories,3
44103001,Fuser cleaning pads or filters,4
44103002,Fuser oil,4
44103003,Fuser wiper,4
44103100,Printer and facsimile and photocopier supplies,3
44103101,Printer or facsimile or photocopier belts,4
44103103,Printer or facsimile toner,4
44103104,Transfer rolls,4
44103105,Ink cartridges,4
44103106,Ink sticks,4
44103107,Printer or facsimile or photocopier cleaning supplies,4
44103108,Developer for printers or photocopiers,4
44110000,Office and desk accessories,2
44111500,Organizers and accessories,3
44111501,Message holders or dispensers,4
44111502,Desk drawer organizers,4
44111503,Desktop trays or organizers,4
44111600,Cash handling supplies,3
44111601,Currency bags or wallets,4
44111609,Counterfeit bill detectors or supplies,4
44111603,Coin sorters,4
44111604,Coin wrappers or bill straps,4
44111605,Cash or ticket boxes,4
44111607,Check files,4
44122000,Folders and binders and indexes,3
44122001,Index card files,4
44122002,Sheet protectors,4
44122003,Binders,4
44122005,Magazine or book covers,4
44122008,Tab indexes,4
44122009,Rotary or business card files,4
44122010,Dividers,4
44122011,Folders,4
44111800,Drafting supplies,3
44111801,Stencils or lettering aids,4
44111802,Drafting films,4
44111803,Compasses,4
44111804,Drafting papers,4
44111805,Curves,4
44111806,Protractors,4
44111807,Scales,4
44111808,T squares,4
44111809,Templates,4
44111810,Triangles,4
44111900,Boards,3
44111901,Planning boards or accessories,4
44111902,Electronic copyboards or accessories,4
44111903,Easels or accessories,4
44111904,Letter boards or accessories,4
44111905,Dry erase boards or accessories,4
44111906,Chalk boards or accessories,4
44111907,Bulletin boards or accessories,4
44111908,Magnetic boards or accessories,4
44112000,Planning systems,3
44112001,Address books or refills,4
44112002,Calendars,4
44112004,Meeting planners,4
44112005,Appointment books or refills,4
44120000,Office supplies,2
44121500,Mailing supplies,3
44121501,Mailer tubes,4
44121503,Mailers,4
44121504,Window envelopes,4
44121505,Specialty envelopes,4
44121506,Standard envelopes,4
44121600,Desk supplies,3
44122012,Clipboards,4
44122101,Rubber bands,4
44122118,Prong fasteners,4
44121604,Stamps,4
44121605,Tape dispensers,4
44122103,Clasp fasteners,4
44122104,Paper clips,4
44122105,Binder or bulldog clips,4
44122106,Pins or tacks,4
44121611,Paper or eyelet punches,4
44121612,Paper cutters or refills,4
44121613,Staple removers,4
44121614,Call bells,4
44121615,Staplers,4
44122107,Staples,4
44121617,Manual letter openers,4
44121618,Scissors,4
44121700,Writing instruments,3
44121701,Rollerball pens,4
44121702,Pen or pencil sets,4
44121703,Fountain pens,4
44121704,Ball point pens,4
44121705,Mechanical pencils,4
44121706,Wooden pencils,4
44121707,Colored pencils,4
44121708,Markers,4
44121709,Crayons,4
44121710,Writing chalk or accessories,4
44121800,Correction media,3
44121801,Correction film or tape,4
44121802,Correction fluid,4
44121619,Manual pencil sharpener,4
44121900,Ink and lead refills,3
44121902,Lead refills,4
45000000,Printing and Photographic and Audio and Visual Equipment and Supplies,1
45100000,Printing and publishing equipment,2
45101500,Printing machinery and equipment,3
45101501,Heliographic printers,4
45101502,Offset printing presses,4
45101503,Letterpress equipment,4
45101504,Lithographic equipment,4
45101505,Photogravure printing machines,4
45101506,Silk screen printing machines,4
45101507,Printing presses,4
45101508,Perforating machines,4
45101600,Printing machinery accessories,3
45121513,Offset cameras,4
45101602,Offset darkroom equipment,4
45101603,Offset printing consumables,4
45101604,Offset printing plate processors,4
45101606,Offset film processors,4
45101607,Silk screen arc lamps,4
45101608,Silk screen screens,4
45101609,Silk screen printing racks,4
45101610,Silk screen vacuum printing frames,4
45101611,Silk screen squeegees,4
45101700,Printing accessories,3
45101701,Printing assemblers,4
45101702,Printing guillotines,4
45101703,Printing collators or decollators,4
45101704,Printing cutters,4
45101705,Printing trimmers,4
45101706,Printing punches,4
45101707,Printing plates,4
45101708,Printing awls,4
45101800,Book binding and sewing equipment and accessories,3
45101801,Book creasing machines,4
45101802,Book cutting machines,4
45101803,Book punching machines,4
45101804,Book stitching machines,4
45101805,Book jogging machines,4
45101806,Book gathering machines,4
45101807,Book folding machines,4
45101900,Printing laboratory equipment and accessories,3
45101901,Banding machines,4
45101902,Platemakers,4
45101903,Paper drilling machines,4
45101904,Enlargers,4
45101905,Drawing or retouching boards,4
45121514,Photocopier cameras,4
45102000,Composing machines and accessories,3
45102001,Intertype composing machines,4
45102002,Linotype composing machines,4
45102003,Photocomposition materials,4
45102004,Monotype composing machines,4
45102005,Phototypesetting machines,4
45110000,Audio and visual presentation and composing equipment,2
45111500,Lecterns and sound systems and accessories,3
45111501,Free standing lecterns,4
45111502,Table top lecterns,4
45111600,Projectors and supplies,3
45111601,Pointers,4
45111602,Projection lamps,4
45111603,Projection screens or displays,4
45111604,Slide projectors,4
45111605,Transparency equipment or supplies,4
45111606,Liquid crystal display projection panels,4
45111607,Overhead projectors,4
45111608,Film projectors,4
45111609,Multimedia projectors,4
45111610,Epidiascopes,4
45131604,Blank video tapes,4
45120000,Photographic or filming or video equipment,2
45121500,Cameras,3
45121501,Still cameras,4
45121502,Instant print cameras,4
45121503,Disposable cameras,4
45121504,Digital cameras,4
45121505,Cinematographic cameras,4
45121801,Microfilm cameras,4
45121510,Aerial cameras,4
45121511,High speed cameras,4
45121512,Underwater cameras,4
45121600,Camera accessories,3
45121601,Camera flashes or lighting,4
45121602,Camera tripods,4
45121603,Camera lens,4
45121700,Photographic processing equipment,3
45121701,Film driers,4
45121702,Film washers,4
45121703,Film splicers,4
45121704,Film editors,4
45121705,Photographic enlargers,4
45130000,Photographic and recording media,2
45131500,Still picture film,3
45131501,Color film,4
45131502,Black and white film,4
45131503,Instant picture film,4
45131600,Moving picture media,3
45131601,Motion picture camera film,4
45131505,X ray film,4
45140000,Photographic filmmaking supplies,2
45141500,Photographic processing chemicals,3
45141501,Developer solution,4
45141502,Fixative,4
45141600,Darkroom supplies,3
45141601,Developing trays,4
45141602,Developing tanks,4
45141603,Developing tongs,4
46000000,Defense and Law Enforcement and Security and Safety Equipment and Supplies,1
46100000,Light weapons and ammunition,2
46101500,Firearms,3
46101504,Handguns,4
46101505,Air rifles or air handguns,4
46101600,Ammunition,3
46101700,Ammunition handling systems,3
46110000,Conventional war weapons,2
46111500,Bombs and grenades,3
46120000,Missiles,2
46130000,Rockets and subsystems,2
46140000,Launchers,2
46150000,Law enforcement,2
46151500,Crowd control equipment,3
46151501,Barricades,4
46151502,Riot helmets,4
46151503,Riot shields,4
46151504,Body armour,4
46151505,Barriers,4
46151600,Security and control equipment,3
46151601,Handcuffs,4
46151602,Night sticks,4
46151715,Fingerprint equipment,4
46151604,Alcohol analysers,4
46151605,Weapon or explosives detectors and supplies,4
46151606,Narcotic test kits,4
46160000,Public safety and control,2
46161500,Traffic control,3
46161501,Airport signaling systems,4
46161502,Railway signaling systems,4
46161503,Marine signaling systems,4
46161504,Traffic signals,4
46170000,Security surveillance and detection,2
46171500,Locks and security hardware and accessories,3
46171600,Surveillance and detection equipment,3
46191501,Smoke detectors,4
46171602,Safety horns,4
46171603,Clock timers,4
46171604,Alarm systems,4
46171605,Door chimes,4
46171606,Sirens,4
46171607,Buzzers,4
46171608,Motion detectors,4
46171609,Convex security mirrors,4
46171610,Security cameras,4
46171611,Video identification systems,4
46171612,Video monitors,4
46171613,Gas detectors,4
46171615,Light enhancing cameras or vision devices,4
46180000,Personal safety and protection,2
46181500,Safety apparel,3
46181501,Protective aprons,4
46181502,Bullet proof vests,4
46181503,Protective coveralls,4
46181504,Protective gloves,4
46181506,Protective ponchos,4
46181507,Safety vests,4
46181508,Fire retardant apparel,4
46181509,Hazardous material protective apparel,4
46181512,Cleanroom apparel,4
46182306,Safety harnesses or belts,4
46181600,Safety footwear,3
46181601,Fire retardant footwear,4
46181602,Hazardous material protective footwear,4
46181603,Cleanroom footwear,4
46181604,Safety boots,4
46181605,Safety shoes,4
46181700,Face and head protection,3
46181701,Hard hats,4
46181702,Facial shields,4
46181704,Safety helmets,4
46181705,Motorcycle helmets,4
46181800,Vision protection and accessories,3
46181801,Eyewear holders or cases,4
46181802,Safety glasses,4
46181804,Goggles,4
46181900,Hearing protectors,3
42143523,Ear plugs,4
46181902,Ear muffs,4
46182000,Respiratory protection,3
46182001,Masks or accessories,4
46182002,Respirators,4
46182003,Gas masks,4
46182100,Anti static equipment and supplies,3
46182101,Antistatic wrist straps,4
46182200,Ergonomic support aids,3
47000000,Cleaning Equipment and Supplies,1
47100000,Water and wastewater treatment supply and disposal,2
47101500,Water treatment and supply equipment,3
47101501,Activated carbon equipment,4
47101502,Ammonia removal equipment,4
47101503,Carbon filtration equipment,4
47101504,Bacterial removal equipment,4
47101506,Corrosion control equipment,4
47101507,Grit chambers,4
47101508,Desalination equipment,4
47101510,Iron removal equipment,4
47101512,Mixers or agitators,4
47101513,Oxygen generators,4
47101514,Water purification equipment,4
47101517,Ultraviolet disinfection equipment,4
47101521,Ultrafiltration equipment,4
47101522,Packaged water treatment systems,4
47101523,Collection tanks,4
47101524,Sludge or sewage composting equipment,4
47101525,Dewatering equipment,4
47101528,Water treatment dryers,4
47101529,Incinerators,4
47101530,Odor control equipment,4
47101531,Septic tanks,4
47101532,Settling tanks,4
47101534,Sewage distributors,4
47101535,Sludge disposal equipment,4
47101536,Sludge collectors,4
47101537,Sludge conditioning equipment,4
47101538,Sludge or sewage digesters,4
47101600,Water treatment consumables,3
47101601,Algaecides,4
47101605,Bacterial removal chemicals,4
47101606,Corrosion control chemicals,4
47101609,Microbiocides,4
47101611,Demulsifiers,4
47110000,Industrial laundry and dry cleaning equipment,2
47111500,Washing and drying equipment,3
47111501,Laundry type combined washing or drying machines,4
47111502,Laundry type washing machines,4
47111503,Clothes dryers,4
47111600,Ironing equipment,3
47111700,Dry cleaning equipment,3
47120000,Janitorial equipment,2
47121500,Cleaning and janitorial carts and accessories,3
47121501,Cleaning or janitorial cart,4
47121502,Cleaning or janitorial cart accessories,4
47121600,Floor machines and accessories,3
47121700,Waste containers and accessories,3
47121701,Trash bags,4
47121702,Waste containers or rigid liners,4
47121703,Smoking urns or accessories,4
47121800,Cleaning equipment,3
47121801,Cleaning dusters,4
47121802,Lint removers,4
47121803,Squeegees or washers,4
47121804,Cleaning pails or buckets,4
47130000,Cleaning and janitorial supplies,2
47131500,Cleaning rags and cloths and wipes,3
47131501,Rags,4
47131502,Cleaning cloths or wipes,4
47131600,Brooms and mops and brushes and accessories,3
47131601,Dust brushes or pans,4
47131602,Scouring pads,4
47131603,Sponges,4
47131604,Brooms,4
47131605,Cleaning brushes,4
47131617,Dust mops,4
47131618,Wet mops,4
47131608,Toilet brushes,4
47131700,Restroom supplies,3
47131701,Paper towel dispensers,4
47131702,Sanitary goods dispensers,4
47131703,Sanitary waste receptacles,4
47131704,Institutional soap or lotion dispensers,4
47131800,Cleaning and disinfecting solutions,3
47131801,Floor cleaners,4
47131803,Household disinfectants,4
47131804,Ammonia cleaners,4
48000000,Service Industry Machinery and Equipment and Supplies,1
48100000,Institutional food services equipment,2
48101500,Cooking and warming equipment,3
48101501,Commercial use bain maries,4
48101502,Commercial use barbeque ovens,4
48101503,Commercial use broilers,4
48101504,Commercial use charcoal grills,4
48101505,Commercial use coffee or iced tea makers,4
48101506,Commercial use coffee warmers,4
48101507,Commercial use convection ovens,4
48101508,Commercial use conveyer toasters,4
48101509,Commercial use deep fryers,4
48101510,Commercial use food warmers,4
48101511,Commercial use griddles,4
48101512,Commercial use grills,4
48101513,Commercial use heat lamps,4
48101514,Commercial use high pressure steamers,4
48101515,Commercial use hot dog grills,4
48101516,Commercial use microwave ovens,4
48101517,Commercial use ovens,4
48101518,Commercial use pasta cookers,4
48101519,Commercial use pizza ovens,4
48101520,Commercial use popcorn machines,4
48101521,Commercial use ranges,4
48101522,Commercial use rotisseries,4
48101523,Commercial use smokers or smoke ovens,4
48101524,Commercial use steamers,4
48101525,Commercial use toasters,4
48101526,Commercial use waffle irons,4
48101600,Food preparation equipment,3
48101601,Commercial use blenders,4
48101602,Commercial use electric can openers,4
48101603,Commercial use food choppers or cubers or dicers,4
48101604,Commercial use coffee grinders,4
48101605,Commercial use food grinders,4
48101606,Commercial use graters,4
48101607,Commercial use juicers,4
48101608,Commercial use mixers,4
48101609,Commercial use pasta machines,4
48101610,Commercial use peelers,4
48101611,Commercial use scales,4
48101612,Commercial use food processors,4
48101700,Food and beverage dispensing equipment,3
48101701,Carbonated beverage dispenser,4
48101702,Non carbonated beverage dispenser,4
48101703,Milk dispensers,4
48101704,Syrup pumps,4
48101705,Cappuccino or espresso machines,4
48101706,Milkshake machines,4
48101707,Soft serve machines,4
48101708,Slush machines,4
48101709,Ice dispensers,4
48101800,Cookware and kitchen tools,3
48101801,Commercial use cutlery,4
48101802,Commercial use molds,4
48101803,Commercial use scoops,4
48101804,Commercial use measuring cups,4
48101805,Commercial use mixing bowls,4
48101806,Commercial use cake or pie pans,4
48101807,Commercial use pizza pans,4
48101808,Commercial use sauce or saute pans,4
48101809,Commercial use stock or sauce pots,4
48101810,Commercial use pot or pan covers,4
48101811,Commercial use rolling pins,4
48101812,Commercial use strainers,4
48101813,Commercial use whisks,4
48101814,Commercial use woks,4
48101815,Commercial use ladles,4
48101900,Tabletop and serving equipment,3
48101901,Food service dinnerware,4
48101902,Food service flatware,4
48101903,Food service glasses,4
48101904,Food service stemware,4
48101905,Food service cups or mugs,4
48101906,Food service serving baskets,4
48101907,Food service pitchers,4
48101908,Food service chafers,4
48101909,Food service coffee or tea pots,4
48101910,Food service soup crocks,4
48101911,Food service ice buckets or wine coolers,4
48101912,Food service condiment dispensers,4
48101913,Food service punch bowls,4
48101914,Food service wine carafes,4
48101915,Food service trays,4
48102000,Restaurant furniture,3
48102001,Restaurant chairs,4
48102002,Booths,4
48102003,Salad bars,4
48102004,Tabletops,4
48102005,Bar stools,4
48102006,Permanent bars,4
48102007,Portable bars,4
48102100,Storage and handling equipment and supplies,3
48102101,Display cases,4
48102102,Heated display cases,4
48102103,Refrigerated display cases,4
48102104,Ice cream display cases,4
49000000,Sports and Recreational Equipment and Supplies and Accessories,1
49100000,Collectibles and awards,2
49101600,Collectibles,3
49101602,Souvenirs,4
49101700,Awards,3
49101701,Medals,4
49101702,Trophies,4
60130000,Musical Instruments and parts and accessories,2
60131000,Keyboard instruments,3
60131003,Musical organs,4
60131001,Pianos,4
60131100,Brass instruments,3
60131101,Trumpets,4
60131102,Trombones,4
60131104,Saxophones,4
60131200,Woodwind instruments,3
60131201,Clarinets,4
60131202,Oboes,4
60131203,Musical flutes,4
60131204,Piccoloes,4
60131300,String instruments,3
60131301,Harpsichords,4
60131302,Clavichords,4
60131303,Guitars,4
60131304,Violins,4
60131305,Harps,4
60131306,Banjoes,4
60131400,Percussion instruments,3
60131401,Cymbals,4
60131402,Bells,4
60131403,Tambourines,4
60131404,Castanets,4
60131405,Drums,4
60131406,Xylophones,4
60131500,Musical instrument parts and accessories,3
60131501,Metronomes,4
60131503,Instrument strings or picks,4
49120000,Camping and outdoor equipment and accessories,2
49121500,Camping and outdoor equipment,3
24141506,Tarpaulins,4
49121502,Sleeping pads,4
49121503,Tents,4
49121504,Sleeping bags,4
49121505,Ice chests,4
49121506,Tent repair kits,4
49121507,Pneumatic mattresses,4
49121508,Mosquito nets,4
49121509,Camping or outdoor stoves,4
49121600,Camping furniture,3
49121601,Camping chairs or stools,4
49121602,Camping tables,4
49121603,Camping cots,4
49130000,Fishing and hunting equipment,2
49131500,Fishing tackle,3
49131501,Fishing rods,4
49140000,Watersports equipment,2
49141500,Scuba and snorkeling gear,3
49141501,Bouyancy compensators,4
49141502,Scuba tanks,4
49141503,Scuba regulators,4
49141504,Diving instruments or accessories,4
49141505,Masks or fins or snorkels,4
49141506,Wetsuits,4
49141507,Drysuits,4
49150000,Winter sports equipment,2
49151500,Skiing and snowboarding equipment,3
49151501,Ski boots,4
49151502,Skis,4
49160000,Field and court sports equipment,2
49161500,Field sports equipment,3
49161501,Football blocking sleds,4
49161503,Baseballs,4
49161504,Footballs,4
49161505,Soccer balls,4
49161506,Baseball bats,4
49161509,Softballs,4
49161600,Racquet and court sports equipment,3
49161601,Racquetball rackets,4
49161602,Badminton rackets,4
49161603,Basketballs,4
49161604,Tennis balls,4
49161607,Tennis racquets,4
49161608,Volleyballs,4
49161700,Track sports equipment,3
49161702,Jumping bars,4
49170000,Gymnastics and boxing equipment,2
49171500,Gymnastics equipment,3
49171501,Gymnastic bars or beams,4
49171503,Gymnastic vaulting equipment,4
49171600,Boxing equipment,3
49171601,Boxing rings,4
49180000,Target and table games and equipment,2
49181500,Table games and equipment,3
49181501,Billiard tables,4
49181507,Tennis tables,4
49200000,Fitness equipment,2
49201500,Aerobic training equipment,3
49201501,Treadmills,4
49201503,Stationary bicycles,4
49201504,Rowing machines,4
49201601,Dumbbells,4
49201512,Jump ropes,4
49210000,Other sports,2
49211600,Golf equipment,3
49220000,Sports equipment and accessories,2
49221500,Sport accessories,3
49221501,Sport scoreboards,4
49221502,Sport goals,4
49221505,Sport nets or netting,4
60140000,Toys and games,2
60141000,Toys,3
60141100,Games,3
60141102,Board games,4
49240000,Recreation and playground and swimming and spa equipment and supplies,2
49241500,Playground equipment,3
49241501,Playground swings,4
49241503,Playground merry go rounds,4
50000000,Food Beverage and Tobacco Products,1
50100000,Nuts and seeds,2
50101700,Nuts and seeds,3
50110000,Meat and poultry products,2
50111500,Minimally processed meat and poultry products,3
50120000,Seafood,2
50121500,Fish,3
50130000,Dairy products and eggs,2
50131600,Eggs and egg substitutes,3
50150000,Edible oils and fats,2
50151500,Edible vegetable and plant oils and fats,3
50151600,Edible animal oils and fats,3
50160000,Chocolate and sugars and sweeteners and confectionary products,2
50161500,Chocolate and sugars and sweetening products,3
50161800,Confectionary products,3
50170000,Seasonings and preservatives,2
50171500,Herbs and spices and extracts,3
50180000,Bread and bakery products,2
50181700,Baking mixes and supplies,3
50190000,Prepared and preserved foods,2
50191500,Prepared soups and stews,3
50192100,Snack foods,3
50200000,Beverages,2
50202301,Water,4
50201700,Coffee and tea,3
50201709,Instant coffee,4
50201706,Coffee,4
50202306,Soft drinks,4
50210000,Tobacco and smoking products and substitutes,2
51000000,Drugs and Pharmaceutical Products,1
51100000,Amebicides and trichomonacides and antiprotozoals,2
51282004,Chloramphenicol or chloramphenicolum,4
51283002,Clindamycin,4
51284017,Tetracycline,4
51101600,Amebicides and Trichomonacides and Antiprotozoals,3
51101923,Atovaquone,4
51101602,Eflornithine,4
51282808,Metronidazole,4
51450000,Anthelmintics,2
51451801,Albendazole,4
51452401,Mebendazole,4
51453201,Oxamniquine,4
51452701,Praziquantel,4
51452301,Pyrantel,4
51453501,Thiabendazole or tiabendazole,4
51300000,Antifungal drugs,2
51302401,Amphotericin B,4
51301802,Butenafine hydrochloride,4
51302308,Clotrimazole,4
51303402,Fluconazole,4
51303001,Flucytosine,4
51301904,Griseofulvin,4
51303403,Itraconazole,4
51302318,Ketoconazole,4
51302320,Miconazole,4
51302403,Natamycin,4
51302404,Nystatin,4
51302325,Tioconazole,4
51302004,Tolnaftate,4
51101900,Antiprotozoals,3
51101902,Mefloquine,4
51101903,Primaquine,4
51101904,Quinine,4
51281500,Antitubercular drugs,3
51283301,Cycloserine,4
